FirstName,LastName,MiddleName,StartDate,EndDate,CreateDate,CreatedBy,ModifiedDate,ModifiedBy,BirthDate,salary,Gender
Dmitri,Stoianov,A,02/05/2005,,02/20/2005,asuri,02/20/2005,asuri,02/03/1952,57000,m
joo han,lee,B,02/06/2005,,02/21/2005,asuri,02/21/2005,asuri,05/23/1958,40200,m
Rick,Rhodes,C,02/07/2005,,02/22/2005,asuri,02/22/2005,asuri,07/26/1929,21450,f
Arthur,Bartholomew,D,02/08/2005,,02/23/2005,asuri,02/23/2005,asuri,04/15/1947,21900,f
Lee,Roloff,E,02/09/2005,,02/24/2005,asuri,02/24/2005,asuri,02/09/1955,45000,m
Byron,Contreras,F,02/10/2005,,02/25/2005,asuri,02/25/2005,asuri,08/22/1958,32100,m
maria del carmen,lopez,G,02/11/2005,,02/26/2005,asuri,02/26/2005,asuri,04/26/1956,36000,m
Justin,Tran,H,02/12/2005,,02/27/2005,asuri,02/27/2005,asuri,05/06/1966,21900,f
Ricky,Pedernal,I ,02/13/2005,08/02/2007,02/28/2005,asuri,02/28/2005,asuri,01/23/1946,27900,f
grigor,godjabashian,J,02/14/2005,,03/01/2005,asuri,03/01/2005,asuri,02/13/1946,24000,f
Adriana,Vazquez,K,02/15/2005,,03/02/2005,asuri,03/02/2005,asuri,02/07/1950,30300,f
Kuldip,Bains,L,02/16/2005,,03/03/2005,asuri,03/03/2005,asuri,01/11/1966,28350,m
Carlos,Ponce,A,02/17/2005,,03/04/2005,asuri,03/04/2005,asuri,07/17/1960,27750,m
Haley,Kaufman,B,02/18/2005,,03/05/2005,asuri,03/05/2005,asuri,02/26/1949,35100,f
OSWALDO,ORELLANA,C,02/19/2005,,03/06/2005,asuri,03/06/2005,asuri,08/29/1962,27300,m
paul ,grewal,D,02/20/2005,,03/07/2005,asuri,03/07/2005,asuri,11/17/1964,40800,m
Christopher,Paddock,E,02/21/2005,,03/08/2005,asuri,03/08/2005,asuri,07/18/1962,46000,m
Mihail,Gotisan,F,02/22/2005,,03/09/2005,asuri,03/09/2005,asuri,03/20/1956,103750,m
Alvin,Chen,G,02/23/2005,,03/10/2005,asuri,03/10/2005,asuri,08/19/1962,42300,m
Jennifer,Bairos,H,02/24/2005,,03/11/2005,asuri,03/11/2005,asuri,01/23/1940,26250,f
Tony ,Tran,I ,02/25/2005,,03/12/2005,asuri,03/12/2005,asuri,02/19/1963,38850,f
Tarnjeet,Singh ,J,02/26/2005,,03/13/2005,asuri,03/13/2005,asuri,09/24/1940,21750,m
Hector ,Amaya,K,02/27/2005,,03/14/2005,asuri,03/14/2005,asuri,03/15/1965,24000,f
sartaj,chouhan,L,02/28/2005,,03/15/2005,asuri,03/15/2005,asuri,03/27/1933,16950,f
Maja,Rankovic,A,03/01/2005,08/18/2007,03/16/2005,asuri,03/16/2005,asuri,07/01/1942,21150,f
PAUL,NGUYEN,B,03/02/2005,,03/17/2005,asuri,03/17/2005,asuri,11/08/1966,31050,m
amarjit,hundal,C,03/03/2005,,03/18/2005,asuri,03/18/2005,asuri,03/19/1954,60375,m
INDERJIT,SINGH,D,03/04/2005,,03/19/2005,asuri,03/19/2005,asuri,04/11/1963,32550,m
Daniel,Mavis,E,03/05/2005,,03/20/2005,asuri,03/20/2005,asuri,01/28/1944,135000,m
Alberto,Garcia,F,03/06/2005,,03/21/2005,asuri,03/21/2005,asuri,09/17/1961,31200,m
manjit,singh,G,03/07/2005,,03/22/2005,asuri,03/22/2005,asuri,02/24/1964,36150,m
Jeff,peterson,H,03/08/2005,,03/23/2005,asuri,03/23/2005,asuri,01/28/1954,110625,m
